ID,reflexrxnfeelings_1,reflexrxnfeelings_2,reflexrxnfeelings_3,reflexrxnfeelings_4,reflexrxnfeelings_5,reflexrxnfeelings_6,reflexrxnfeelings_7,A3factor_8,A3factor_9,A3factor_10,A3factor_11,A3factor_12,A3factor_13,A3factor_14,A3factor_15,A3factor_16,A3factor_17,A3factor_18,A3factor_19,A3factor_20,A3factor_21,A3factor_22,A3factor_23,A3factor_24,A3factor_26,A3factor_27,A3factor_28,A3factor_29,urgency_1,urgency_2,urgency_3,urgency_4,urgency_5,urgency_6,urgency_7,urgency_8,urgency_9,urgency_10,urgency_11,urgency_12,A3factor_57,A3factor_58,A3factor_59,A3factor_60,A3factor_61,A3factor_62,A3factor_63,A3factor_64,A3factor_65,A3factor_66,A3factor_67,A3factor_68,A3factor_69,A3factor_70,pum_1,pum_2,pum_3,pum_4,pum_5,pum_6,pum_7,urgency_1R,urgency_2R,urgency_3R,urgency_4R,urgency_5R,urgency_6R,urgency_7R,urgency_8R,urgency_9R,urgency_10R,urgency_12R,pum_1R,pum_2R,pum_3R,pum_4R,pum_5R,pum_6R,pum_7R,reflexrxnfeelings_1R,reflexrxnfeelings_2R,reflexrxnfeelings_3R,reflexrxnfeelings_4R,reflexrxnfeelings_5R,reflexrxnfeelings_6R,reflexrxnfeelings_7R,A3factor_67R,A3factor_69R,A3factor_70R,A3factor_28R,A3factor_29R,A3factor_24R,A3factor_26R,A3factor_27R,A3factor_58R,A3factor_66R,A3factor_8R,A3factor_9R,A3factor_10R,A3factor_11R,A3factor_13R,A3factor_14R,A3factor_15R,A3factor_16R,urgency,pum,Factor_FeelingsTrigger,Generalization,ReflexRxFeelings,SadParalysis,EmoColorWorld,Factor_PervInf,LowPerseverance,Distractability,Factor_LackFollowThrough
126,1,1,2,3,5,2,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,5,2,4,2,5,5,2,5,5,2,2,1,1,5,2,1,1,1,4,3,5,2,2,5,5,5,5,5,3,1,2,3,3,1,4,2,4,1,1,4,1,1,1,1,1,1,3,5,5,5,4,3,1,4,4,3,4,4,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,2.583333333,1.857142857,2.718253968,4,3.714285714,5,5,4.666666667,2,5,3.5
127,3,4,2,3,3,4,2,1,1,1,1,5,1,1,1,1,1,1,2,2,2,2,2,1,4,2,3,4,2,3,2,2,3,4,1,3,2,1,5,2,2,1,1,1,5,5,5,5,5,2,2,4,2,2,5,4,3,3,4,2,3,4,3,4,4,3,2,5,3,4,5,4,1,2,3,3,2,4,3,3,2,4,3,3,2,4,4,4,4,3,2,5,2,4,5,4,5,5,5,5,5,5,5,5,3.833333333,2.571428571,3.134920635,4,3,2.5,3.666666667,3.388888889,3.8,5,4.4
129,3,4,4,2,3,4,4,1,1,1,1,4,1,1,1,2,2,2,2,2,2,1,1,2,4,2,2,2,2,2,2,3,2,4,2,2,2,3,4,2,3,3,3,1,5,3,5,5,3,1,2,4,2,2,2,3,4,4,2,2,3,4,4,4,3,4,2,4,4,4,3,4,4,3,2,2,4,4,3,3,2,2,4,3,2,2,4,4,4,4,4,4,2,4,3,5,5,5,5,5,5,5,5,4,3.666666667,3.142857143,3.126984127,4,2.571428571,4,3.333333333,3.777777778,3.6,4.777777778,4.188888889
130,1,1,2,2,1,1,2,1,2,2,2,3,2,2,2,3,1,1,1,1,1,1,1,2,2,1,3,4,2,1,1,3,3,2,3,2,1,1,4,2,3,4,2,3,4,2,1,2,2,4,2,2,4,2,5,5,2,2,2,2,5,4,5,5,3,3,4,3,4,5,5,4,1,1,4,4,4,4,1,5,5,4,4,5,5,4,4,2,4,3,2,4,4,5,2,2,5,4,4,4,4,4,4,3,4.083333333,2.714285714,3.78968254,3,4.571428571,2.5,4.333333333,3.277777778,2.3,3.888888889,3.094444444
131,1,2,2,2,2,2,1,1,1,1,1,4,1,2,1,2,2,2,1,1,1,2,2,2,1,2,2,3,3,4,2,4,3,2,2,2,2,2,4,2,4,3,2,4,5,4,4,4,4,2,2,4,3,3,3,4,3,4,3,4,3,3,2,4,2,3,4,4,4,4,4,4,3,2,3,2,3,2,3,5,4,4,4,4,4,5,4,3,3,4,3,4,5,4,3,4,5,5,5,5,5,4,5,4,3.5,2.571428571,3.452380952,3.5,4.285714286,3.5,4.333333333,3.777777778,3.8,4.666666667,4.233333333
132,4,5,2,4,4,2,2,2,2,1,1,5,2,1,1,2,2,3,4,2,2,2,2,1,1,1,2,2,2,2,2,4,2,3,4,2,4,4,2,2,1,5,2,2,4,4,5,2,4,2,3,4,3,2,5,5,5,5,4,4,5,4,4,4,2,4,3,2,4,2,2,4,1,1,1,1,2,2,1,2,1,4,2,2,4,4,3,3,4,4,4,5,5,5,1,4,4,4,5,5,4,5,5,4,3.083333333,1.285714286,2.361111111,3.5,2.714285714,4,5,4.166666667,2.9,4.555555556,3.727777778
134,4,5,3,4,4,3,3,2,4,3,3,3,2,3,3,3,1,2,1,1,2,1,1,1,2,2,2,3,4,4,3,2,4,3,4,4,4,4,4,2,2,3,2,2,3,4,4,3,5,2,2,5,2,1,5,5,5,4,5,2,4,2,2,3,4,2,3,2,2,2,2,4,1,1,1,2,1,4,2,2,1,3,2,2,3,3,4,4,5,4,3,5,4,4,3,4,4,2,3,3,4,3,3,3,2.666666667,1.714285714,2.222222222,4.5,2.285714286,3.5,4.333333333,4.111111111,3.2,3.111111111,3.155555556
138,1,2,4,2,2,2,4,2,4,3,2,4,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,2,4,3,5,2,2,3,2,2,4,2,5,5,2,1,1,5,1,1,4,4,5,4,4,5,4,5,5,4,4,4,2,2,4,2,3,4,2,2,1,2,2,1,2,5,4,2,4,4,4,2,5,5,5,5,5,5,5,5,3,5,4,2,3,4,3,3,3,2,3.666666667,1.714285714,2.984126984,5,3.571428571,5,5,5,3.2,3.111111111,3.155555556
140,4,4,5,4,3,4,4,1,2,3,2,4,2,3,1,4,2,4,3,4,4,2,2,1,1,1,4,4,4,2,5,4,4,3,4,3,4,2,4,3,1,4,2,1,3,1,4,2,1,4,4,4,4,3,5,5,5,5,5,3,5,2,4,1,2,2,3,2,3,2,4,3,1,1,1,1,1,3,1,2,2,1,2,3,2,2,2,2,3,2,2,5,5,5,2,2,5,4,3,4,4,3,5,2,2.666666667,1.285714286,1.984126984,2.75,2,2,5,3.25,1.9,3.777777778,2.838888889
142,2,2,3,3,4,2,4,5,5,5,4,4,4,4,5,4,4,2,2,4,1,1,2,2,2,3,2,2,4,1,4,2,2,2,2,3,4,2,4,2,1,4,1,2,2,2,2,1,1,4,4,4,4,3,4,4,5,4,4,2,4,2,5,2,4,4,4,4,3,2,4,4,2,2,1,2,2,4,2,4,4,3,3,2,4,2,2,2,3,4,4,4,4,3,2,2,1,1,1,2,2,2,1,2,3.5,2.142857143,2.928571429,2.75,3.142857143,4,3.666666667,3.472222222,1.6,1.777777778,1.688888889
143,3,2,4,4,2,3,4,1,1,1,1,4,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,2,3,2,1,3,2,2,1,3,3,2,2,3,1,4,4,2,4,4,2,1,2,4,2,3,2,4,4,4,3,2,2,5,4,3,4,5,3,4,4,5,3,4,4,2,2,2,3,4,4,3,4,2,2,4,3,2,4,4,3,5,4,5,5,5,3,5,5,5,5,5,4,4,5,5,3.916666667,3,3.257936508,3.75,2.857142857,4.5,5,4.416666667,3.1,4.666666667,3.883333333
144,4,4,3,3,1,1,2,1,3,1,3,2,4,1,1,1,1,1,1,1,1,2,1,3,2,1,2,3,2,2,4,2,2,3,2,2,2,4,4,2,4,3,4,1,2,3,2,2,2,3,1,5,1,1,5,2,2,3,5,2,4,4,4,2,4,4,3,4,4,4,2,4,1,4,4,3,1,4,2,2,2,3,3,5,5,4,5,5,5,4,3,3,4,5,3,3,5,3,5,3,2,5,5,5,3.583333333,2.714285714,3.242063492,5,3.428571429,3.5,4,4.166666667,2.6,3.888888889,3.244444444
145,4,5,5,5,4,4,2,1,5,2,1,4,4,2,3,4,5,4,5,2,4,5,4,1,2,2,2,2,4,4,5,5,5,4,5,4,5,5,5,5,1,5,1,1,3,1,1,1,1,5,2,4,2,2,5,5,5,5,5,5,5,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,4,4,4,4,4,4,5,4,4,1,1,5,1,4,5,2,4,3,2,1.666666667,1,1.507936508,4,1.857142857,4,4.333333333,4.111111111,1.2,3.333333333,2.266666667
147,2,2,2,2,2,2,1,1,4,2,2,3,4,2,2,3,4,4,5,2,4,2,2,2,1,1,2,2,3,3,4,4,3,3,2,3,3,3,4,2,1,4,2,3,4,2,2,1,1,4,3,4,2,2,3,4,4,3,4,2,2,3,3,2,2,3,3,4,3,3,3,4,3,2,2,3,2,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,5,5,2,2,5,2,4,4,2,4,4,3,3.083333333,2.857142857,3.361111111,3.75,4.142857143,4,4.666666667,4.138888889,2,3.444444444,2.722222222
148,2,3,3,5,4,2,4,3,4,2,4,2,5,2,2,5,2,2,2,2,1,1,3,1,1,1,2,2,5,5,5,5,5,4,5,4,5,4,2,4,1,5,1,1,2,1,1,1,1,4,5,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,4,3,3,1,2,4,2,1,5,5,4,4,5,5,5,1,2,3,2,4,2,1,4,4,1,1.416666667,1,1.71031746,3,2.714285714,4,5,4,1.2,2.555555556,1.877777778
149,2,2,3,3,3,2,2,4,2,4,3,2,4,4,4,2,4,5,4,4,3,4,4,3,2,2,3,4,4,4,4,3,4,2,2,2,2,3,4,4,2,3,3,3,2,2,2,1,2,4,3,4,2,2,2,2,3,3,2,3,4,2,2,2,3,2,4,4,4,4,3,2,4,4,3,3,4,3,2,4,4,3,3,3,4,4,3,4,4,3,2,3,4,4,3,2,2,4,2,3,2,2,2,4,3,3.285714286,3.285714286,3.75,3.571428571,2.5,3.666666667,3.305555556,2.2,2.555555556,2.377777778
151,2,3,4,4,4,5,4,2,3,3,2,3,4,2,3,4,2,3,4,3,4,4,4,2,1,2,3,4,4,2,5,2,4,3,2,3,3,1,3,4,2,3,2,3,4,3,2,3,2,4,2,4,1,1,5,2,5,5,5,2,5,2,4,1,4,2,3,4,3,3,5,2,1,4,1,1,1,4,1,4,3,2,2,2,1,2,4,5,5,3,2,4,5,4,3,2,4,3,3,4,2,4,3,2,3,1.857142857,2.380952381,4.5,2.285714286,2.5,4.333333333,3.777777778,2.6,3.111111111,2.855555556
152,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,3,4,4,2,4,4,3,2,1,4,5,2,4,4,4,4,4,2,4,4,4,4,2,2,4,2,2,2,2,4,2,2,4,4,2,1,4,3,2,4,4,4,4,2,4,2,2,2,2,2,4,2,2,2,4,3,4,2,2,2,2,4,4,4,4,4,4,4,4,2,5,2,2,1,3,4,5,2,2,5,5,5,5,5,5,5,5,2.666666667,2.714285714,3.126984127,2.75,4,1.5,4,2.75,2.2,4.555555556,3.377777778
153,1,2,2,1,1,1,2,1,4,2,1,4,2,2,2,3,2,4,4,3,4,2,4,1,1,1,2,4,3,2,3,4,2,3,1,2,2,1,2,2,2,3,2,2,3,4,3,2,2,3,1,4,2,1,5,5,5,5,5,3,5,3,4,3,2,4,3,5,4,4,5,4,1,1,1,1,1,3,1,5,4,4,5,5,5,4,5,4,5,4,2,5,5,5,3,3,5,2,4,5,4,4,4,3,3.583333333,1.285714286,3.146825397,4.5,4.571428571,3,5,4.166666667,2.6,3.888888889,3.244444444
155,2,3,4,2,4,3,2,1,2,1,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,4,5,2,5,3,5,2,2,2,3,1,2,3,4,2,3,2,1,4,2,1,5,4,5,5,4,2,2,5,5,3,4,2,2,1,4,1,3,4,1,2,1,1,2,4,4,4,3,2,4,2,3,4,5,4,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,4,3.25,2.142857143,2.845238095,4.5,3.142857143,5,5,4.833333333,2.8,4.777777778,3.788888889
158,2,2,2,3,4,4,2,2,2,2,1,2,2,2,2,2,4,2,4,3,3,2,3,3,1,2,3,4,4,4,4,4,4,4,2,3,3,2,3,3,2,3,3,2,4,3,4,2,2,4,2,4,2,2,2,4,3,4,3,3,2,2,2,2,2,2,2,4,3,3,4,3,4,2,3,2,3,3,4,4,4,4,3,2,2,4,4,4,4,3,2,3,5,4,3,2,4,4,4,5,4,4,4,4,2.666666667,3,2.984126984,4,3.285714286,2.5,4,3.5,2.7,3.888888889,3.294444444
160,5,5,5,5,5,5,2,1,1,1,1,5,1,1,1,4,2,2,5,3,2,1,2,2,1,1,2,2,2,4,5,3,3,4,5,4,5,5,4,2,4,2,1,2,3,4,5,5,5,1,1,5,2,2,5,5,5,5,5,5,5,4,2,1,3,3,2,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,2,2.333333333,1,1.587301587,4.5,1.428571429,4,4.666666667,4.388888889,3.8,4.666666667,4.233333333
161,1,2,3,4,2,4,1,1,1,2,1,5,1,2,2,4,1,2,3,1,1,1,1,1,1,1,2,2,4,1,2,2,1,2,4,1,2,4,4,2,1,1,1,4,5,4,5,5,5,1,2,5,2,2,5,2,4,5,5,1,2,2,5,4,4,5,4,2,5,4,2,4,1,4,2,1,1,5,4,5,4,3,2,4,2,5,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,4,4,2,3.75,2.571428571,3.297619048,4.25,3.571428571,4,5,4.416666667,4,4.333333333,4.166666667
162,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,4,2,2,2,4,1,2,3,2,2,4,5,2,2,2,1,5,4,4,3,2,4,2,2,2,2,4,5,5,5,5,5,1,2,4,2,2,4,5,5,4,4,2,5,1,4,4,4,5,1,2,2,3,4,4,2,1,1,2,2,4,1,1,1,1,1,1,1,1,4,4,4,4,2,4,3,4,4,5,5,5,5,5,5,5,5,5,3.166666667,1.857142857,2.007936508,4,1,3,3.666666667,3.555555556,4.2,4.555555556,4.377777778
163,1,1,1,5,5,5,4,2,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,1,1,1,2,2,2,1,1,2,3,5,2,5,5,3,4,5,4,1,1,1,5,4,1,1,1,1,2,2,2,2,3,4,2,5,5,1,2,4,5,5,4,3,1,4,1,1,3,1,3,2,4,1,1,5,4,5,5,5,1,1,1,2,4,4,4,4,4,5,5,5,5,5,4,4,4,5,4,4,5,4,3,2.857142857,2.904761905,3.5,2.857142857,4,5,4.166666667,2.8,3.888888889,3.344444444
164,4,4,3,4,4,4,3,2,2,2,2,4,3,2,2,2,2,3,3,2,1,2,2,1,2,1,3,2,4,2,4,4,5,5,2,4,4,2,4,4,2,3,2,4,4,2,1,2,2,4,3,4,2,2,5,4,5,5,4,2,4,2,4,2,2,1,1,4,2,2,4,2,1,2,1,1,2,4,2,2,2,3,2,2,2,3,3,4,4,3,4,5,4,5,3,2,4,4,4,4,3,4,4,4,2.5,1.857142857,2.214285714,3.75,2.285714286,3.5,4.666666667,3.972222222,2.4,3.888888889,3.144444444
165,2,2,2,3,4,4,2,1,1,1,1,5,2,1,1,1,2,3,4,4,2,2,3,2,2,2,2,4,2,2,2,2,2,4,2,4,4,2,4,2,2,4,4,4,4,4,4,4,4,2,2,2,4,5,5,5,5,5,5,2,5,4,4,4,4,4,2,4,2,2,4,4,1,1,1,1,1,4,1,4,4,4,3,2,2,4,4,2,1,4,2,4,4,4,2,4,5,5,5,5,4,5,5,5,3.5,1.428571429,2.738095238,2.25,3.285714286,3,4,3.083333333,3.6,4.888888889,4.244444444
